PROPNUM,SECTION,SEQUENCE,QUALIFIER,KEYWORD,EXPRESSION
WELL002,4,1,KA0126,CUMS,7.495 39.050
WELL002,4,2,KA0126,START,01/2023
WELL002,4,100,KA0126,OIL,26.7 X B/D 6 EXP B/0.38 64.87
WELL002,4,200,KA0126,"""",X 1 B/D X YRS EXP 6
WELL002,4,300,KA0126,GAS,134.1 X M/D 6 EXP B/0.30 53.68
WELL002,4,400,KA0126,"""",X 1 M/D X YRS EXP 6
WELL002,4,500,KA0126,WATER,5.9 X B/D 6 EXP B/1.50 6.1
WELL002,4,600,KA0126,"""",X 1 B/D X YRS EXP 6
WELL001,4,1,KA0126,CUMS,9.310 47.940
WELL001,4,2,KA0126,START,01/2023
WELL001,4,100,KA0126,OIL,33.5 X B/D 6 EXP B/0.48 68.11
WELL001,4,200,KA0126,"""",X 1 B/D X YRS EXP 6
WELL001,4,300,KA0126,GAS,168.1 X M/D 6 EXP B/0.56 61.88
WELL001,4,400,KA0126,"""",X 1 M/D X YRS EXP 6
WELL001,4,500,KA0126,WATER,8.3 X B/D 6 EXP B/1.50 6.1
WELL001,4,600,KA0126,"""",X 1 B/D X YRS EXP 6
